chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,label
0.6727454,0.25864002,0.11584585,0.4444268,0.69282305,0.4034729,0.14339624,0.23464788,0.5538294,0.90074897,0.63660055,0.73859006,0.21531704,0.11431211,0.11822575,0.1529299,0.23948246,0.21366748,0.13969001,0.14451136,0.12974243,0.19544537,0.1653346,0.20616034,-142.32147,253.52237,43.791294,-17.407797,1.9678354,3.4973133,-6.535697,-13.50802,-14.54568,-6.5125513,-7.792846,-19.601643,-23.244097,71.30395,44.750053,26.746319,9.780409,8.07567,9.284986,5.1680217,7.8228264,7.5422745,5.84749,7.0668283,6.7061925,6.5328965,23.13554349227689,8.859223856605128,19.786186530670903,27.484838268008957,29.72949457120372,21.996717627960358,22.977509817489054,7.121603222914867,3.02081893948654,4.282381915187808,5.6621759685206055,6.570205078174483,7.651140644008503,3.573418608238092,Major
0.43600073,0.50181365,0.24674734,0.46903154,0.7672013,0.5554457,0.41465205,0.32659104,0.37654027,0.26916778,0.38796037,0.76283514,0.14502108,0.2047138,0.11166857,0.19045247,0.31515288,0.21044002,0.14360657,0.17621295,0.13970053,0.15627342,0.14832212,0.3187156,-139.88242,259.78384,32.192276,-20.861,2.1850064,7.2744026,-0.07643828,-14.076459,-23.35654,-15.592416,-7.8963385,-2.2144215,3.0892982,78.38835,47.606255,30.249802,13.900444,8.187235,12.660694,5.8716516,7.075805,9.00751,8.244902,5.520809,4.0814314,5.455143,22.16662662434127,10.790291630170412,20.18205024703045,25.26276942393696,29.871326476863455,20.838938494959397,24.59341070723994,6.803570789195806,3.9080640180191293,4.368139324883398,5.38587179979436,6.611231676318453,7.797164778816586,4.555546632740976,Major
0.4338685,0.4980171,0.23947124,0.47117993,0.7637625,0.5463394,0.36163074,0.24991187,0.55126166,0.33291924,0.3865766,0.75619596,0.14459161,0.20452169,0.10737649,0.1924352,0.3163452,0.21399674,0.14054585,0.12310774,0.24938461,0.1532341,0.1450327,0.31647483,-144.92744,263.10782,32.80022,-21.520494,3.4216921,7.464864,-2.5523496,-17.881804,-23.131495,-11.387156,-6.224836,-6.507393,-1.3379493,70.78688,45.513935,30.393053,12.4919405,9.049601,12.690084,6.568883,5.9196253,9.729785,7.559365,5.4950056,4.292748,4.290702,23.174101021919444,10.625316455958828,20.044882955045775,27.88423076850677,30.538726234287743,21.774857670627835,24.89306679909042,7.0190925034743135,2.581809411496858,4.425087725663011,5.37341110076763,5.714171760532788,7.533874703492603,4.238415810365852,Major
0.7028776,0.59867793,0.5568147,0.6066152,0.37049296,0.40894994,0.7864645,0.5164965,0.49634096,0.45855555,0.3905524,0.4592923,0.27251,0.27475446,0.3014765,0.36862016,0.31802273,0.28781843,0.2843399,0.25277984,0.3919889,0.3408945,0.28922343,0.23152117,-173.26575,173.5938,56.75139,12.851127,3.9344916,3.180426,1.5686462,-2.506005,-7.065257,-7.04519,-3.1264572,2.7247233,4.2931447,83.173805,77.222664,22.58839,7.6266613,7.53667,5.1459575,5.131235,6.43968,8.665842,9.1315365,7.8234434,6.021079,5.570414,25.98373915477541,9.626099016432534,16.977960826081777,18.612384475633093,17.768630962356916,15.326167420018091,23.95365069554106,23.831828923470102,3.586852953096646,5.44330861810801,5.532403889833195,5.326273867096077,3.880451980206562,6.974811735952124,Major
0.29334563,0.2982135,0.5251189,0.24604805,0.42006108,0.6751691,0.44512954,0.31555513,0.26407585,0.57009095,0.9049489,0.44988808,0.11747602,0.14829111,0.30324504,0.12546697,0.18567358,0.2790813,0.1739348,0.20569068,0.1220334,0.1425019,0.20863332,0.117896385,-153.15813,265.51846,44.115025,-18.746025,3.169903,10.1598425,-0.6540941,-15.65807,-20.985983,-14.416252,-6.2949066,-2.9271429,-10.586358,68.33892,46.339592,30.649155,9.986835,6.0083127,12.38653,7.902678,6.727484,8.706495,7.8416543,4.1480117,3.5378563,3.9295905,23.599247408169433,7.512882967456745,19.54900376603246,26.249853093298853,28.63842815031348,21.255805151124616,24.6065944714471,7.330457052093565,4.185668010853088,4.1092758243167,5.388729812812831,5.3718362108924165,6.982698471496913,3.7792630511088894,Major
0.5683244,0.9224128,0.60133946,0.6119836,0.3352286,0.24019498,0.4416925,0.2732408,0.41082665,0.29887033,0.4524364,0.3851171,0.14505285,0.22438748,0.1824567,0.21353339,0.12183761,0.13067514,0.23089251,0.16419338,0.20715234,0.16129619,0.1906575,0.17246906,-133.50847,267.29678,20.370472,-23.494495,8.030449,3.564515,-12.982027,-19.002832,-14.390766,-10.605079,-13.26897,-10.301474,-4.067966,70.7293,44.234142,30.557869,11.939239,7.7702603,12.026872,6.1694403,9.891276,7.7600865,5.7398176,5.465601,4.7198973,5.023668,23.930774385226062,11.493638040003207,21.835705924311977,27.14940710240667,29.426674316397815,23.362218610761055,24.684045408586616,7.275627814599105,3.898651482829628,4.282816661278592,5.561437731121386,5.533750092175198,7.577938332495503,4.303885441814362,Major
0.22833043,0.42774603,0.7486036,0.31314483,0.19317578,0.3413062,0.1656557,0.07207719,0.24196823,0.6151655,0.8559369,0.3878188,0.11312506,0.17036636,0.2884493,0.14733467,0.16537197,0.27516714,0.15242234,0.13102701,0.12317544,0.20492697,0.25255838,0.13666877,-143.36848,254.09375,39.623074,-20.773714,1.6237745,4.116973,-7.4287024,-11.120223,-7.4487076,-7.955516,-14.355395,-10.341707,-4.394463,64.89129,44.807594,30.072779,10.332613,7.8357687,9.033448,5.144328,5.5510387,6.3773737,5.7891154,5.5696425,3.8144324,3.6374102,22.665651500951316,15.43571581461505,23.270395997753553,25.615645062817073,28.503397631483363,21.24725986877018,23.993174455583798,7.753038029883944,3.290618497803164,4.898465602119653,4.825481328369196,5.559701003068308,6.855914732740312,3.7995706544741803,Major
0.40983582,0.47738886,0.60922235,0.25489503,0.17224172,0.43947217,0.72197497,0.44518584,0.30743533,0.6007762,0.9227984,0.5252332,0.16500133,0.19500253,0.25652343,0.13021074,0.12325885,0.14275232,0.20711467,0.18623787,0.18550104,0.12040025,0.2011385,0.13679108,-165.18597,257.12567,62.512234,-7.8951178,6.9347568,14.485362,3.1475036,-11.977894,-22.327099,-15.45092,-3.126182,-0.34182334,-4.4764752,57.03178,42.858997,26.130486,11.171023,7.101594,9.992498,7.674347,6.176914,8.783806,6.7786965,5.3776402,4.036765,3.8180017,24.076374937821974,8.484978598609706,17.86045849191084,26.426278275143353,30.28892184998106,21.5106930974813,23.24871705998361,7.151933513238423,3.889661222037148,5.26136417312122,4.74750854371278,6.008203007147605,7.535840054926173,3.0832567008809755,Major
0.91815686,0.40600023,0.103369676,0.22863613,0.17330821,0.2921685,0.1669734,0.23976633,0.2038123,0.2617303,0.6415175,0.4506836,0.24720617,0.12926202,0.11090344,0.13567728,0.112321585,0.12673126,0.108737536,0.16163713,0.22659339,0.14647286,0.23692322,0.10449527,-134.31866,250.19823,3.180163,-39.79765,-11.524768,-15.511423,-27.988348,-31.176285,-23.21454,-17.246439,-18.70821,-13.809684,-7.2578897,75.5772,43.492573,33.807026,17.40013,8.902894,10.031515,11.25506,10.47381,7.1122026,5.875328,5.0198846,4.575058,5.172347,11.410814352270195,13.566029380762508,17.312031321330405,27.891901853266077,29.875605558228784,20.717116053497637,24.338547502813103,5.286638742137245,3.266515998418855,3.409307906055693,5.1605768369162295,5.874182634564465,6.000677219154314,4.331996416832367,Major
0.6106909,0.44756424,0.48453417,0.70956624,0.64882135,0.83683527,0.8324323,0.2375581,0.105971575,0.15051271,0.37847692,0.7727271,0.19737273,0.18131533,0.17214796,0.23323634,0.18197593,0.21402402,0.21811895,0.106163785,0.15292165,0.12379727,0.10266907,0.21494219,-154.57376,259.1611,38.711227,-19.337551,-0.6361119,0.76314825,-8.723175,-23.396551,-24.706533,-3.2749894,8.2840805,-0.23642369,-9.413651,67.12524,41.2107,30.5992,9.497479,6.38657,10.653883,5.4988923,7.521559,9.892599,5.2618194,5.9311676,5.387769,3.5114565,23.86904176629463,10.551730601125914,21.683339452525683,26.684069742545656,30.489561668079812,22.406422590211264,24.286819427232114,6.590812872552693,3.09875574055011,4.530311596038722,5.103998941367462,5.444404130925046,7.262277848139345,3.8695567602961853,Major
